Year,Playlist ID,User ID
2007,7CfB12LIkB2u0Niih3WVEQ,garyli08
2006,2Xxy98JgpWSyXf0yrzGkmq,zzabinski
2005,0jh6TBqviZXDFn1fZM8Wew,garyli08
2004,6Lf340gpd9GqoJP2BR6imM,f0ru0l0rd
2003,3dsiLilXfNsM5fL3ClrlVj,garyli08
2002,4TG8HBGn9f7EbiV5cibtsj,garyli08
2001,1js2rPNvOkRSFkyI5FnQ6e,israel.kendall
2000,4sgfHKNUvjabf82DgycNld,garyli08
1999,7gTvhRcUZaXt8ydN3AAIqF,israel.kendall
1998,62FCnGM83VWvtv6zAlMgTd,israel.kendall
1997,2KizNGg9OiXSt2f8RyRGcr,israel.kendall
1996,0e5LYEb4oqWeVCDhTKLCBQ,israel.kendall
1995,3KBYrJrYxfw9meQLwZcLh2,israel.kendall
1994,5NBp8N1KQBFipfxTJ9eYEe,israel.kendall
1993,45iNcb8ojtrQARtEpcpvvv,israel.kendall
1992,3n98oIBshWorMOLJazIfJS,israel.kendall
1991,4ASN0RlS651kVOnRsohaFL,israel.kendall
1990,2Ezq5tXBfcm08IgV6jVbD5,israel.kendall
1989,0RQPCufJ8sFM0f6diGOqx2,israel.kendall
1988,6D0WkFzwCx5pxfD5jX0wkL,israel.kendall
1987,4lgzCdoCCntR8RizaMlGOC,israel.kendall
1986,2FEAysct4thAiYGojrHKlM,israel.kendall
1985,3lluUY967E5z4WnNeJKDV2,israel.kendall
1984,1ux0KmjmnQCNQzQ0BH7kbl,israel.kendall
1983,74BP9iaXq354DmPUepjzNC,israel.kendall
1982,2LpABEbv5IJZB6h8dzwCQI,israel.kendall
1981,6EaLmdD8KZvXiBER0VgY8L,israel.kendall
1980,6BGXLlqwvOkM4JdWXxjmER,israel.kendall