Rank,Song,Artist,Year,Spotify ID
1,SOMEBODY THAT I USED TO KNOW,Gotye,2012,4wCmqSrbyCgxEXROQE6vtV
2,CALL ME MAYBE,Carly Rae Jepsen,2012,6ol4ZSifr7r3Lb2a9L5ZAB
3,WE ARE YOUNG,fun.,2012,7a86XRg84qjasly9f6bPSD
4,PAYPHONE,Maroon 5,2012,1LmN9SSHISbtp9LoaR5ZVJ
5,LIGHTS,Ellie Goulding,2012,7gUpO6td4OOnu0Lf9vhcIV
6,GLAD YOU CAME,The Wanted,2012,1OXfWI3FQMdsKKC6lkvzSx
7,STRONGER (WHAT DOESN'T KILL YOU),Kelly Clarkson,2012,6D60klaHqbCl9ySc8VcRss
8,WE FOUND LOVE,Rihanna,2012,6qn9YLKt13AGvpq9jfO8py
9,STARSHIPS,Nicki Minaj,2012,59RSrxkSKSixEWBAIvE5Wa
10,WHAT MAKES YOU BEAUTIFUL,One Direction,2012,3SPDQfj2UfWq6A2NllZnzn
11,WILD ONES,Flo Rida,2012,1NpW5kyvO4XrNJ3rnfcNy3
12,SET FIRE TO THE RAIN,Adele,2012,3CKCZ9pfwAfoMZlMncA1Nc
13,SEXY AND I KNOW IT,LMFAO,2012,0obBFrPYkSoBJbvHfUIhkv
14,SOME NIGHTS,fun.,2012,6t6oULCRS6hnI7rm0h5gwl
15,WIDE AWAKE,Katy Perry,2012,5JLv62qFIS1DR3zGEcApRt
16,GOOD FEELING,Flo Rida,2012,3NcO4jGK1Opb5ea0mYLpxb
17,WHISTLE,Flo Rida,2012,0ltBH1JNzSvQJPjJpvTu9B
18,ONE MORE NIGHT,Maroon 5,2012,4XNrMwGx1SqP01sqkGTDmo
19,DRIVE BY,Train,2012,1wAXODAAL6hY64ZdhrnjBO
20,THE MOTTO,Drake,2012,49ySwzAyvxcNXOkOP6ZB1L
21,WHERE HAVE YOU BEEN,Rihanna,2012,3tyPOhuVnt5zd5kGfxbCyL
22,EVERYBODY TALKS,Neon Trees,2012,3528IXKpbb7OMjdjWYlbfD
23,TAKE CARE,Drake,2012,4wTMBYRE6xVTIUQ6fEudsJ
24,TITANIUM,David Guetta,2012,77TT8Xvx637TpzV8kKGkUw
25,I WON'T GIVE UP,Jason Mraz,2012,05pKAafT85jeeNhZ6kq7HT
26,IT WILL RAIN,Bruno Mars,2012,4rMNgxEwGWoPHIUcvB5BrB
27,MERCY,"Kanye West, Big Sean, Pusha T, 2 Chainz",2012,4qikXelSRKvoCqFcHLB2H2
28,BOYFRIEND,Justin Bieber,2012,0171XsIM2xyeXRr6wsugEI
29,PARTY ROCK ANTHEM,LMFAO Featuring Lauren Bennett & GoonRock,2012,0IkKz2J93C94Ei4BvDop7P
30,TOO CLOSE,Alex Clare,2012,4sK96UnGx3NjBaqvfTG2dm
31,PART OF ME,Katy Perry,2012,1nZzRJbFvCEct3uzu04ZoL
32,"YOUNG, WILD & FREE",Snoop Dogg & Wiz Khalifa Featuring Bruno Mars,2012,5HQVUIKwCEXpe7JIHyY734
33,WE ARE NEVER EVER GETTING BACK TOGETHER,Taylor Swift,2012,Not on spotify
34,AS LONG AS YOU LOVE ME,Justin Bieber,2012,0pwYLVXVknPSGUQb39cePC
35,TURN ME ON,David Guetta,2012,0zlD8JjDsFUUmofqPE83Cj
36,MOVES LIKE JAGGER,Maroon 5,2012,7LcfRTgAVTs5pQGEQgUEzN
37,BLOW ME (ONE LAST KISS),P!nk,2012,6LS6pltO7YBgjwNVhxMwtp
38,GOOD TIME,Owl City & Carly Rae Jepsen,2012,1kPpge9JDLpcj15qgrPbYX
39,GIVE YOUR HEART A BREAK,Demi Lovato,2012,3sP3c86WFjOzHHnbhhZcLA
40,NI**AS IN PARIS,Jay Z Kanye West,2012,2KpCpk6HjXXLb7nnXoXA5O
41,THE ONE THAT GOT AWAY,Katy Perry,2012,3oL3XRtkP1WVbMxf7dtTdu
42,FEEL SO CLOSE,Calvin Harris,2012,1gihuPhrLraKYrJMAEONyc
43,SOMEONE LIKE YOU,Adele,2012,4kflIGfjdZJW4ot2ioixTB
44,SCREAM,Usher,2012,5sAlmL7Qp9N9BJTADkwEt9
45,RACK CITY,Tyga,2012,0srwKuJPH8yBzzFUJMBQM2
46,DOMINO,Jessie J,2012,6MAdEUilV2p9RQUqE5bMAK
47,GANGNAM STYLE,PSY,2012,03UrZgTINDqvnUMbbIMhql
48,INTERNATIONAL LOVE,Pitbull,2012,62zFEHfAYl5kdHYOivj4BC
49,HOME,Phillip Phillips,2012,2ZQyksYO4zzhyHNcueL0CP
50,WITHOUT YOU,David Guetta,2012,7rGMKCgeYXpBecQ1FPb3oc
51,ASS BACK HOME,Gym Class Heroes,2012,3bfqkspKABT4pPicm6wC9F
52,WANTED,Hunter Hayes,2012,0p1BcEcYVO3uk4KDf3gzkY
53,DRUNK ON YOU,Luke Bryan,2012,3b7CDTKB0SRTmQ6ytYi5vZ
54,NO LIE,2 Chainz,2012,4TyY4vah59nsckspWdSGPn
55,WANT U BACK,Cher Lloyd,2012,6E11E0lT5Zy7yb6iT3y8DN
56,DON'T WAKE ME UP,Chris Brown,2012,12Ns5IphkblPmHxpRILG9t
57,DANCE (A$$),Big Sean,2012,3OVLPcUPS0HbMeAeMP0jZ4
58,SPRINGSTEEN,Eric Church,2012,05ZACkzW8YbRq3eFgIfSNB
59,BROKENHEARTED,Karmin,2012,4urcG6Nfubqsuqy3juMjBi
60,NOT OVER YOU,Gavin DeGraw,2012,6j7hih15xG2cdYwIJnQXsq
61,STEREO HEARTS,Gym Class Heroes,2012,0qOnSQQF0yzuPWsXrQ9paz
62,BACK IN TIME,Pitbull,2012,2U2ONBrf1HJCDxQlynpD6J
63,WORK OUT,J. Cole,2012,6rbeWjEavBHvX2kr6lSogS
64,RUMOUR HAS IT,Adele,2012,76N7FdzCI9OsiUnzJVLY2m
65,LET'S GO,Calvin Harris,2012,4wkQmYpAaMe41Rc3sYZ7Vz
66,GOOD GIRL,Carrie Underwood,2012,20DfkHC5grnKNJCzZQB6KC
67,PONTOON,Little Big Town,2012,2Gy3XMLbBxACZ4tXdFRGr7
68,HO HEY,The Lumineers,2012,0W4Kpfp1w2xkY3PrV714B7
69,PARADISE,Coldplay,2012,6nek1Nin9q48AVZcWs9e9D
70,BLOWN AWAY,Carrie Underwood,2012,0vFMQi8ZnOM2y8cuReZTZ2
71,ROLLING IN THE DEEP,Adele,2012,1CkvWZme3pRgbzaxZnTl5X
72,CLIMAX,Usher,2012,6cNajGUxKP53LIg0LzlfQt
73,"WORK HARD, PLAY HARD",Wiz Khalifa,2012,62csqLJbdvAKb38rYijV1R
74,LET ME LOVE YOU (UNTIL YOU LEARN TO LOVE YOURSELF),Ne-Yo,2012,1Ejsu5JglwIgrFW7Bt2GuL
75,POUND THE ALARM,Nicki Minaj,2012,5kcE7pp02ezLZaUbbMv3Iq
76,COME OVER,Kenny Chesney,2012,6BCrbWBpb8d6KWmEqZ41tr
77,HEART ATTACK,Trey Songz,2012,1J36RjF8Mx8Yp2QWvFSPmv
78,DRANK IN MY CUP,Kirko Bangz,2012,3m8CQnnfJJp4eQMWWl3zay
79,BIRTHDAY CAKE,Rihanna,2012,4EfN6bixdOOgoLYR5C4cWo
80,SO GOOD,B.o.B,2012,28GUjBGqZVcAV4PHSYzkj2
81,50 WAYS TO SAY GOODBYE,Train,2012,2NniAhAtkRACaMeYt48xlD
82,RED SOLO CUP,Toby Keith,2012,47nm8czanMUzIqHsnr5x61
83,LOVE YOU LIKE A LOVE SONG,Selena Gomez & The Scene,2012,0laYHRpNTS6i8FXdupHkJ4
84,TURN UP THE MUSIC,Chris Brown,2012,0UlHiqi7seV02XNHLMtfGK
85,DIE YOUNG,Ke$ha,2012,6mnjcTmK8TewHfyOp3fC9C
86,5 O'CLOCK,T-Pain,2012,6j236RwzFFj4wqH2tWJNBD
87,A THOUSAND YEARS,Christina Perri,2012,6lanRgr6wXibZr8KgzXxBl
88,TAKE A LITTLE RIDE,Jason Aldean,2012,1rOoICPf1JpkRpX5PNuJt2
89,YOU DA ONE,Rihanna,2012,3Yt9lRtS5V4nbJnwcgFgvC
90,WE RUN THE NIGHT,Havana Brown,2012,0mtPNQl5vePVwiI9Vykp7L
91,IT'S TIME,Imagine Dragons,2012,6BtmXhTJMM9sBTHeYYASGz
92,CASHIN' OUT,Ca$h Out,2012,1POAx4NMLOBPVKZUSsBh92
93,I DON'T WANT THIS NIGHT TO END,Luke Bryan,2012,0cV4xwUA4ue2deqq4CZFko
94,DIAMONDS,Rihanna,2012,7Kt59L2ZZGtOnIhvMwzG6f
95,HARD TO LOVE,Lee Brice,2012,6E9V9TRlVOLjenGjHemzEH
96,SOMETHIN' 'BOUT A TRUCK,Kip Moore,2012,6Ymvlzom4TQeoKqAWsZRD8
97,ADORN,Miguel,2012,3trS6e40JCVUOpPVt5OdHj
98,FLY OVER STATES,Jason Aldean,2012,5r6hrzcBhlnV9eDSKD2WQ9
99,EVEN IF IT BREAKS YOUR HEART,Eli Young Band,2012,0Nu9WA8kEbBWEsay2s8Q0U
100,BURN IT DOWN,Linkin Park,2012,7oVEtyuv9NBmnytsCIsY5I